Kota/Kabupaten;Penduduk_miskin;APM_SD;Jumlah_sekolah_SD;Buta_huruf(y)
Kab. Kepulauan Mentawai;13.97;96.99;134;1.54
Kab. Pesisir Selatan;7.11;99.55;406;0.54
Kab. Solok;7.12;98.71;363;0
Kab. Sijunjung;6;99.95;212;0.51
Kab. Tanah Datar;4.26;98.7;304;0
Kab. Padang Pariaman;6.25;99.26;413;0.02
Kab. Agam;6.22;98.46;439;0.02
Kab. Lima Puluh Kota;6.59;99.62;372;0.21
Kab. Pasaman;6.85;97.97;249;0.16
Kab. Solok Selatan;6.51;99.18;137;0.27
Kab. Dharmasraya;5.56;99.31;167;0.81
Kab. Pasaman Barat;6.93;98.28;275;0.64
Kota Padang;4.26;98.2;412;0.44
Kota Solok;3.02;99.69;48;0.16
Kota Sawahlunto;2.28;99.03;62;0.26
Kota Padang Panjang;5.14;99.03;38;0.12
Kota Bukittinggi;4.46;99.85;65;0.63
Kota Payakumbuh;5.66;98.18;83;0.05
Kota Pariaman;4.13;98.99;81;0.31
